"","word","sub","end_X","end_Y","respondTime","responseFlag"
"295","Disappointed",22,-150.9296875,-2.68359375,3.48936961800791,1
"296","Relaxed",22,139.7109375,-3.8515625,2.27862287400058,1
"297","Calm",23,-3.14453125,1.8515625,2.74901627001236,1
"298","Angry",23,-116.5390625,111.8203125,1.96582218699041,1
"299","Surprised",23,126.9140625,105.37109375,1.22286840897868,1
"300","Disappointed",23,-131.34375,-109.78125,1.63487643198459,1
"301","Quiet",23,0.28515625,-71.390625,1.68561466399115,1
"302","Nervous",23,-31.31640625,104.03515625,2.58353205898311,1
"303","Relaxed",23,123.69921875,-179.16015625,2.25297869398491,1
"304","Satisfied",23,158.30859375,-28.609375,2.30108568098512,1
"305","Sleepy",23,0.40234375,-204.6875,2.2918264149921,1
"306","Sad",23,-236.046875,0.64453125,2.21292573399842,1
"307","Still",23,1.10546875,1,1.23979660001351,1
"308","Sluggish",23,-32.73046875,-235.80078125,2.25339831897873,1
"309","Neutral",23,-3.88671875,-4.75,1.16460542098503,1
"310","Happy",23,228.91015625,112.265625,2.37066917199991,1
"311","Disgusted",23,-222.65234375,91.48046875,1.33528287897934,1
"312","Peppy",23,219.26953125,163.90625,1.37341759999981,1
"313","Afraid",23,-220.31640625,222.6328125,1.56841857600375,1
"314","Aroused",23,50.85546875,161.46484375,3.53344001399819,1
"315","Annoyed",23,-91.859375,159.671875,1.36302893099491,1
"316","Enthusiastic",23,98.37890625,100.2265625,1.41800598200643,1
"317","Peppy",24,132.26171875,8.2734375,8.24313425598666,1
"318","Nervous",24,-142.53515625,193.359375,6.2832281269948,1
"319","Angry",24,-173.25,187.84375,5.12620753399096,1
"320","Disappointed",24,-164.71484375,0.0625,6.72353218798526,1
"321","Neutral",24,1.890625,-0.41796875,4.7643191810057,1
"322","Happy",24,162.80078125,102.6953125,3.01386259502033,1
"323","Relaxed",24,39.84375,-54.32421875,3.83416121700429,1
"324","Satisfied",24,216.03125,0.53125,5.18194417399354,1
"325","Sad",24,-150.3359375,-68.81640625,3.96738915200694,1
"326","Quiet",24,-67.33984375,-1.625,7.33985583699541,1
"327","Aroused",24,-0.4453125,192.97265625,9.74872268398758,1
"328","Afraid",24,-0.640625,195.75390625,8.2723287139961,1
"329","Sluggish",24,-46.984375,-97.3046875,5.40427572399494,1
"330","Enthusiastic",24,198.15234375,104.06640625,3.80302629200742,1
"331","Calm",24,65.34375,-172.59375,6.25308097997913,1
"332","Annoyed",24,-112.4296875,161.38671875,4.83657947098254,1
"333","Surprised",24,1.4140625,186.85546875,7.70854195198626,1
"334","Disgusted",24,-119.88671875,126.7734375,3.54814194398932,1
"335","Angry",25,-237.81640625,229.79296875,5.54279138197307,1
"336","Sad",25,-188.8125,-212.484375,4.02090013099951,1
"337","Relaxed",25,0.04296875,-246.8359375,5.202908665,1
"338","Disappointed",25,-66.1640625,-248.859375,3.93704386899481,1
"339","Enthusiastic",25,44.80078125,246.91796875,2.77239460701821,1
"340","Sleepy",25,0.046875,-250,2.42484588199295,1
"341","Happy",25,125.98046875,88.4609375,4.94059847199242,1
"342","Calm",25,20.828125,-246.37890625,3.29698089198791,1
"343","Neutral",25,-0.38671875,1.453125,2.23201406298904,1
"344","Afraid",25,-11.61328125,64.265625,5.56425460998435,1
"345","Satisfied",25,0.5234375,-0.5234375,3.22919447300956,1
"346","Sluggish",25,-0.0234375,-246.69140625,3.11074195598485,1
"347","Quiet",25,0.29296875,-195.55078125,4.37416625101469,1
"348","Surprised",25,-0.515625,176.6953125,4.33125199200003,1
"349","Peppy",25,80.859375,160.6640625,3.51372773299227,1
"350","Disgusted",25,-67.90234375,195.3671875,2.94793775497237,1
"351","Aroused",25,-0.64453125,232.1171875,4.44809481102857,1
"352","Nervous",25,-124.83203125,165.22265625,4.90107169898693,1
"353","Still",25,-0.00390625,1.5859375,2.50440179900033,1
"354","Annoyed",25,-18.88671875,202.515625,2.79622851600288,1
"355","Sad",26,-170.9609375,-118.12890625,2.31612644199049,1
"356","Sluggish",26,-115.76171875,-136.5859375,2.50851983000757,1
"357","Annoyed",26,-120.8046875,28.453125,3.16154954899685,1
"358","Surprised",26,161.10546875,219.3828125,2.14518482200219,1
"359","Neutral",26,-0.5078125,-0.2265625,2.29304330199375,1
"360","Angry",26,-212.5625,182.0703125,2.48993540400988,1
"361","Happy",26,206.14453125,169.046875,1.58777809899766,1
"362","Aroused",26,0,250,2.97695747399121,1
"363","Sleepy",26,2.328125,-248.2734375,3.05991844198434,1
"364","Still",26,-1.3125,-207.5625,2.78367891500238,1
"365","Satisfied",26,194.71484375,-49.640625,2.54613862300175,1
"366","Enthusiastic",26,93.76171875,47.46875,1.48512107602437,1
"367","Relaxed",26,173.234375,-226.9453125,4.22996747502475,1
"368","Disappointed",26,-165.0859375,-176.58203125,4.9308957690082,1
"369","Calm",26,144.4765625,-158.75,2.32557990498026,1
"370","Peppy",26,112.078125,166.5390625,5.30424616800155,1
"371","Disgusted",26,-192.02734375,106.46875,1.99812721501803,1
"372","Nervous",26,-70.60546875,225.12109375,3.97859136000625,1
"373","Quiet",26,-1.7734375,-205.75390625,4.51015654002549,1
